Class,Accuracy,Support
ABT A3,0.0,3
ABT A4,0.0,2
ABT A5,0.0,5
ABT A6,0.0,1
ABT Q7,0.0,1
ABT TT,0.0,2
ABT A7,0.0,1
ABT Q3,0.0,3
ABT Q5,0.0,3
ABT RS 4,0.0,2
ABT A1,0.0,2
BAC Mono,0.0,3
Knight XV,0.8695652173913043,23
DS 5,0.25,24
DS 6,0.6818181818181818,22
DS 5LS,0.5217391304347826,23
DS 3,0.32142857142857145,28
DS Wild Rubis,0.6153846153846154,26
DS 9,0.6896551724137931,29
DS 4,0.43478260869565216,23
Dokker,0.0,7
Duster,0.2,5
Logan,0.25,4
Sandero,0.6,5
Lodgy,0.5,6
Atlantic,0.0,4
Surf,0.2857142857142857,14
Latigo,0.5,6
Tramonto,0.0,3
Karma,0.5,4
GMC3500,0.0,1
Yukon,0.0,3
Terrain,0.5384615384615384,26
Sierra,0.0,6
Acadia,1.0,4
GMC CANYON,0.7272727272727273,11
Savana,1.0,2
Apollo,1.0,2
Tornante,0.0,2
Venom GT,0.6666666666666666,12
Venom F5,0.5,20
VelociRaptor,0.65,20
Vulcano,0.7857142857142857,28
Grand Cherokee SRT,0.68,25
Wrangler,0.52,25
Compass,0.36363636363636365,22
Cherokee,0.25806451612903225,31
Patriot,0.41935483870967744,31
Free,0.85,20
Jeep J12,0.7,20
Renegade,0.3888888888888889,18
Grand Cherokee,0.8148148148148148,27
X-BOW,0.7391304347826086,23
MELKUS RS2000,0.0,1
MG3 SW,0.47619047619047616,21
MG3 Xross,0.5555555555555556,18
MG5,0.7333333333333333,30
MG6 sedan,0.4444444444444444,18
MG6 hatchback,0.35,20
MG7,0.7446808510638298,47
Icon,0.7272727272727273,11
MG CS,0.5333333333333333,15
MG3,0.68,25
MINI,0.47619047619047616,21
MINI CLUBMAN,0.38461538461538464,26
MINI COUNTRYMAN,0.75,20
MINI COUPE,0.5625,16
MINI PACEMAN,0.6666666666666666,27
MINI ROADSTER,0.35294117647058826,17
MINI E,0.8888888888888888,9
MINI CLUBVAN,0.7037037037037037,27
MINI BEACHCOMBER,0.5714285714285714,21
MINI VISION,0.0,18
MINI Superleggera,0.5,2
MINI CABRIO,0.8,10
MINI JCW,0.375,8
MINI JCW COUNTRYMAN,0.0,5
MINI JCW COUPE,1.0,5
MINI JCW PACEMAN,0.0,8
Evantra,0.2,5
Noble M600,0.14285714285714285,7
Noble M14,0.2857142857142857,7
Noble M15,0.6666666666666666,9
Noble M12,0.7368421052631579,19
CEVENNES,0.0,8
HEMERA,0.6578947368421053,38
Spirra,0.6363636363636364,22
Tuatara,0.6785714285714286,28
Ultimate,0.75,4
Scion tC,0.125,16
Scion iQ,0.0,4
Scion xB,0.22727272727272727,22
Scion xA,0.6666666666666666,9
Scion xD,0.7272727272727273,22
Scion FR-S,0.5909090909090909,22
MODEL S,0.7878787878787878,33
TESLA Roadster,0.0,3
MODEL X,0.9259259259259259,27
