epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,77.9341,5.31943,0.00721,0.03395,5.2788,1.66013e-05,1.66013e-05,1.66013e-05
2,148.086,5.23483,0.02102,0.07487,5.1552,3.26093e-05,3.26093e-05,3.26093e-05
3,221.007,5.09529,0.05273,0.17299,4.95412,4.79572e-05,4.79572e-05,4.79572e-05
4,293.348,4.86415,0.10583,0.29499,4.65904,4.703e-05,4.703e-05,4.703e-05
5,362.125,4.5676,0.15894,0.39498,4.32893,4.604e-05,4.604e-05,4.604e-05
6,434.79,4.26628,0.21042,0.4691,4.01012,4.505e-05,4.505e-05,4.505e-05
7,504.617,3.99095,0.25208,0.53215,3.70573,4.406e-05,4.406e-05,4.406e-05
8,575.635,3.73775,0.29151,0.58525,3.46766,4.307e-05,4.307e-05,4.307e-05
9,647.413,3.50761,0.32098,0.62057,3.23334,4.208e-05,4.208e-05,4.208e-05
10,719.579,3.31394,0.36376,0.65775,3.03156,4.109e-05,4.109e-05,4.109e-05
11,795.007,3.12183,0.3895,0.69121,2.85691,4.01e-05,4.01e-05,4.01e-05
12,867.08,2.97137,0.41948,0.71745,2.69719,3.911e-05,3.911e-05,3.911e-05
13,936.93,2.83029,0.44024,0.73847,2.55455,3.812e-05,3.812e-05,3.812e-05
14,1007.95,2.69326,0.46263,0.756,2.44492,3.713e-05,3.713e-05,3.713e-05
15,1075.68,2.59566,0.48526,0.77279,2.30838,3.614e-05,3.614e-05,3.614e-05
16,1145.57,2.48538,0.50591,0.79057,2.20597,3.515e-05,3.515e-05,3.515e-05
17,1216.91,2.39235,0.52357,0.80201,2.11796,3.416e-05,3.416e-05,3.416e-05
18,1287.78,2.29942,0.54085,0.81184,2.04229,3.317e-05,3.317e-05,3.317e-05
19,1360.74,2.23041,0.5513,0.82179,1.98403,3.218e-05,3.218e-05,3.218e-05
20,1430.87,2.15374,0.56361,0.83025,1.9131,3.119e-05,3.119e-05,3.119e-05
21,1501.57,2.09227,0.57443,0.84094,1.85765,3.02e-05,3.02e-05,3.02e-05
22,1574.02,2.04168,0.58475,0.84679,1.79595,2.921e-05,2.921e-05,2.921e-05
23,1644.89,1.9891,0.5947,0.85139,1.74371,2.822e-05,2.822e-05,2.822e-05
24,1716.09,1.94026,0.60055,0.85499,1.70628,2.723e-05,2.723e-05,2.723e-05
25,1786.67,1.9077,0.60975,0.86047,1.66722,2.624e-05,2.624e-05,2.624e-05
26,1856.81,1.86728,0.61249,0.86444,1.63767,2.525e-05,2.525e-05,2.525e-05
27,1927.04,1.81734,0.62119,0.86706,1.60179,2.426e-05,2.426e-05,2.426e-05
28,1996.77,1.77576,0.62828,0.87104,1.57995,2.327e-05,2.327e-05,2.327e-05
29,2068.27,1.73822,0.63263,0.87303,1.5496,2.228e-05,2.228e-05,2.228e-05
30,2137.36,1.72304,0.64009,0.87564,1.52353,2.129e-05,2.129e-05,2.129e-05
31,2209.32,1.69111,0.64034,0.88074,1.50561,2.03e-05,2.03e-05,2.03e-05
32,2282.48,1.65978,0.64544,0.88049,1.48215,1.931e-05,1.931e-05,1.931e-05
33,2357.17,1.65143,0.64569,0.88434,1.46238,1.832e-05,1.832e-05,1.832e-05
34,2427.56,1.63112,0.65178,0.88546,1.44606,1.733e-05,1.733e-05,1.733e-05
35,2499.19,1.61578,0.65862,0.88845,1.42285,1.634e-05,1.634e-05,1.634e-05
36,2570.36,1.58751,0.66049,0.88745,1.41602,1.535e-05,1.535e-05,1.535e-05
37,2641.38,1.55147,0.66223,0.88944,1.40022,1.436e-05,1.436e-05,1.436e-05
38,2709.96,1.55372,0.66509,0.89093,1.38526,1.337e-05,1.337e-05,1.337e-05
39,2785.03,1.52827,0.6682,0.8923,1.37418,1.238e-05,1.238e-05,1.238e-05
40,2856.96,1.5054,0.66982,0.89392,1.36705,1.139e-05,1.139e-05,1.139e-05
41,2932.27,1.49947,0.67218,0.89454,1.35987,1.04e-05,1.04e-05,1.04e-05
42,3001.6,1.49414,0.67317,0.89678,1.35075,9.41e-06,9.41e-06,9.41e-06
43,3072.96,1.48814,0.67616,0.89703,1.34098,8.42e-06,8.42e-06,8.42e-06
44,3144.52,1.47438,0.67952,0.89753,1.33098,7.43e-06,7.43e-06,7.43e-06
45,3219.95,1.45516,0.67591,0.89852,1.33192,6.44e-06,6.44e-06,6.44e-06
46,3294.59,1.48454,0.67753,0.89852,1.32743,5.45e-06,5.45e-06,5.45e-06
47,3365.74,1.44445,0.67827,0.90001,1.32175,4.46e-06,4.46e-06,4.46e-06
48,3437.92,1.46063,0.68089,0.89951,1.31648,3.47e-06,3.47e-06,3.47e-06
49,3509.07,1.45261,0.68089,0.89989,1.31725,2.48e-06,2.48e-06,2.48e-06
50,3579.69,1.44629,0.68051,0.89951,1.31271,1.49e-06,1.49e-06,1.49e-06
