epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,258.104,7.02785,0.06647,0.17391,5.79563,0.00333284,0.00333284,0.00333284
2,501.474,4.70298,0.44971,0.69117,2.64171,0.00600622,0.00600622,0.00600622
3,751.363,2.82868,0.70251,0.88873,1.25888,0.00801961,0.00801961,0.00801961
4,1003.91,1.8983,0.82562,0.94917,0.70344,0.00703,0.00703,0.00703
5,1249.63,1.30335,0.8753,0.96928,0.48567,0.00604,0.00604,0.00604
6,1496.47,0.98146,0.89884,0.97787,0.38869,0.00505,0.00505,0.00505
7,1748.54,0.76697,0.91212,0.9822,0.33489,0.00406,0.00406,0.00406
8,2001.39,0.61438,0.91992,0.98429,0.30378,0.00307,0.00307,0.00307
9,2254.39,0.48371,0.92545,0.9857,0.28274,0.00208,0.00208,0.00208
10,2507.79,0.38547,0.92996,0.98671,0.26724,0.00109,0.00109,0.00109
