epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0928,0.76871,1.33765,1.12199,0.91745,0.89749,0.94601,0.55534,1.35163,1.06318,1.61447,0.00333002,0.00333002,0.00333002
2,193.423,0.72042,0.6929,1.06018,0.89659,0.8912,0.9047,0.54569,1.33112,0.84909,1.58712,0.00653142,0.00653142,0.00653142
3,284.246,0.7554,0.64068,1.07858,0.83643,0.83037,0.81496,0.46328,1.47358,0.99813,1.70097,0.00960082,0.00960082,0.00960082
4,374.612,0.75188,0.61166,1.08215,0.89671,0.8577,0.91902,0.52638,1.43358,0.79221,1.65282,0.009406,0.009406,0.009406
5,465.332,0.70923,0.54615,1.06219,0.93081,0.91927,0.95295,0.54402,1.48234,0.66956,1.64201,0.009208,0.009208,0.009208
6,558.285,0.68554,0.51117,1.04954,0.96154,0.93679,0.96823,0.58554,1.36227,0.58937,1.54425,0.00901,0.00901,0.00901
7,651.231,0.67167,0.48794,1.0406,0.95231,0.94846,0.96403,0.60221,1.296,0.55127,1.52092,0.008812,0.008812,0.008812
8,742.741,0.6601,0.47527,1.03481,0.95306,0.9526,0.9612,0.61305,1.2573,0.54059,1.47146,0.008614,0.008614,0.008614
9,834.897,0.64273,0.45477,1.02749,0.95623,0.95764,0.96943,0.61923,1.26719,0.49824,1.4795,0.008416,0.008416,0.008416
10,926.578,0.63851,0.4469,1.02538,0.96601,0.95412,0.97235,0.61627,1.29578,0.51764,1.49263,0.008218,0.008218,0.008218
11,1018.43,0.63023,0.43979,1.01995,0.96089,0.95861,0.96755,0.62822,1.2341,0.48529,1.4443,0.00802,0.00802,0.00802
12,1156.99,0.62855,0.43162,1.02348,0.97395,0.95543,0.97266,0.62767,1.26281,0.48838,1.4785,0.007822,0.007822,0.007822
13,1303.91,0.61518,0.42251,1.01529,0.97193,0.95928,0.9783,0.63491,1.26987,0.48015,1.45356,0.007624,0.007624,0.007624
14,1469.22,0.61331,0.41678,1.01436,0.97312,0.95895,0.97597,0.63952,1.2363,0.46098,1.45164,0.007426,0.007426,0.007426
15,1633.69,0.60773,0.40821,1.0094,0.97015,0.9657,0.97725,0.65341,1.21005,0.4456,1.4437,0.007228,0.007228,0.007228
16,1800.88,0.60585,0.40982,1.012,0.97433,0.96609,0.98064,0.6538,1.21253,0.4455,1.44182,0.00703,0.00703,0.00703
17,1967.35,0.60232,0.39902,1.00851,0.97021,0.96837,0.97963,0.65114,1.20835,0.44837,1.41836,0.006832,0.006832,0.006832
18,2131.8,0.60449,0.40044,1.005,0.97464,0.96835,0.98126,0.66216,1.17977,0.43162,1.3975,0.006634,0.006634,0.006634
